Jugador,Posc,Equipo,Edad,Nacimiento,90 s,ACT,SCA90,PassLive,PassDead,HASTA,Dis,FR,Def,ACG,GCA90,PassLive,PassDead,HASTA,Dis,FR,Def,Partidos
Marcos López,DF,pe Peru,24,1999,2.5,2,0.81,0,1,0,1,0,0,0,0.00,0,0,0,0,0,0,Partidos
Damion Lowe,"CC,DF",jm Jamaica,30,1993,1.8,5,2.85,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Jhon Lucumí,DF,co Colombia,25,1998,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
José Luis Rodríguez,CC,pa Panama,25,1998,0.9,3,3.25,1,0,1,1,0,0,0,0.00,0,0,0,0,0,0,Partidos
Douglas Luiz,CC,br Brazil,25,1998,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
,,,,,,,,,,,,,,,,,,,,,,
Alexis Mac Allister,CC,ar Argentina,25,1998,4.9,13,2.64,8,0,1,1,2,1,2,0.41,2,0,0,0,0,0,Partidos
Deiver Machado,DF,co Colombia,30,1993,0.5,2,4.00,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Partidos
Darwin Machís,DL,ve Venezuela,30,1993,1.4,5,3.63,4,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Warren Madrigal,"DL,CC",cr Costa Rica,19,2004,2.1,1,0.48,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Gabriel Magalhães,DF,br Brazil,26,1997,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Christian Makoun,DF,ve Venezuela,23,2000,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Jesús Manuel Sagredo,DF,bo Bolivia,29,1994,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
José María Giménez,DF,uy Uruguay,29,1995,3.4,2,0.60,2,0,0,0,0,0,1,0.30,1,0,0,0,0,0,Partidos
Guillermo Maripán,DF,cl Chile,29,1994,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Marquinhos,DF,br Brazil,29,1994,4.0,3,0.75,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Alex Marshall,CC,jm Jamaica,25,1998,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Gabriel Martinelli,DL,br Brazil,22,2001,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Guillermo Martínez Ayala,"DL,CC",mx Mexico,28,1995,0.9,3,3.51,1,0,0,2,0,0,0,0.00,0,0,0,0,0,0,Partidos
Cristian Martínez,CC,pa Panama,26,1997,3.0,13,4.29,10,0,0,0,2,1,1,0.33,1,0,0,0,0,0,Partidos
