Jugador,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
Héctor Cuellar,DF,bo Bolivia,23,2000,3,2,225,2.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,2,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Jaume Cuéllar,DL,bo Bolivia,22,2001,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Carlos Cuesta,DF,co Colombia,24,1999,5,5,480,5.3,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,0,6,0,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Partidos
Christian Cueva,"CC,DL",pe Peru,32,1991,2,0,26,0.3,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,2,4,0.00,0.00,0.00,0.00,0.00,0.82,0.00,0.82,0.82,0.82,Partidos
Danilo,DF,br Brazil,32,1991,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.4,7,30,11,0.00,0.00,0.00,0.00,0.00,0.01,0.08,0.09,0.01,0.09,Partidos
Jonathan David,"CC,DL",ca Canada,24,2000,6,5,446,5.0,2,0,2,2,0,0,1,0,1.6,1.6,0.4,2.1,7,22,34,0.40,0.00,0.40,0.40,0.40,0.33,0.09,0.42,0.33,0.42,Partidos
Alphonso Davies,DF,ca Canada,23,2000,6,5,459,5.1,0,0,0,0,0,0,1,0,0.4,0.4,0.3,0.7,16,25,17,0.00,0.00,0.00,0.00,0.00,0.07,0.06,0.13,0.07,0.13,Partidos
Víctor Dávila,DL,cl Chile,26,1997,3,3,230,2.6,0,0,0,0,0,0,1,0,0.3,0.3,0.8,1.1,2,5,11,0.00,0.00,0.00,0.00,0.00,0.13,0.31,0.45,0.13,0.45,Partidos
Erick Davis,DF,pa Panama,32,1991,4,4,352,3.9,0,1,1,0,0,0,0,0,0.0,0.0,0.4,0.4,7,15,20,0.00,0.26,0.26,0.00,0.26,0.01,0.10,0.11,0.01,0.11,Partidos
Giorgian De Arrascaeta,"CC,DL",uy Uruguay,29,1994,5,1,164,1.8,0,1,1,0,0,0,0,0,0.1,0.1,0.6,0.7,3,7,12,0.00,0.55,0.55,0.00,0.55,0.07,0.34,0.41,0.07,0.41,Partidos
Luc De Fougerolles,DF,ca Canada,18,2005,1,1,66,0.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,2,0,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08,Partidos
Nicolás De La Cruz,CC,uy Uruguay,26,1997,5,4,352,3.9,0,2,2,0,0,0,2,0,0.2,0.2,0.7,0.9,3,25,27,0.00,0.51,0.51,0.00,0.51,0.04,0.18,0.22,0.04,0.22,Partidos
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodrigo De Paul,CC,ar Argentina,29,1994,5,5,480,5.3,0,1,1,0,0,0,1,0,0.1,0.1,1.1,1.3,10,31,11,0.00,0.19,0.19,0.00,0.19,0.02,0.23,0.25,0.02,0.25,Partidos
Ángel Di María,"CC,DL",ar Argentina,35,1988,5,4,354,3.9,0,1,1,0,0,0,0,0,0.4,0.4,2.0,2.4,14,19,30,0.00,0.25,0.25,0.00,0.25,0.10,0.51,0.61,0.10,0.61,Partidos
